fips,preterm,lbw,fertility_per_1000_women,pop_per_sqr_mile,white,black,native,asian,pacific,multiracial,hispanic,poverty,completed hs,completed undergrad,marital,drug_death_per_100000,insured,fertilizer_per_sqr_mile,insecticide_per_sqr_mile,herbicide_per_sqr_mile,hospitals_per_sqr_mile,Acres of agricultural land,acres_ag_land_per_sqr_mile,all_wells,all_hormone_wells,all_est_wells,all_test_wells,all_wells_2014to2018,all_hormone_wells_2014to2018,all_est_wells_2014to2018,all_test_wells_2014to2018,required_report,no_report_but_resources,"Metro-nonmetro status, 2013 0=Nonmetro 1=Metro",Economic Types Type_2015_Update non-overlapping,total_area,total_wells,total_1418_wells,MaternityCareAccess,maternal_care_code
1001,12.4,8.6,65,92.85988251,76.9,19.1,0.3,1,0.1,1.9,2.8,15.4,88.7,27.7,53.3,51.2,92.9,41.90806872,17.30188209,36.21871867,0.001682244,13211,22.22412877,0,0,0,0,0,0,0,0,TRUE,FALSE,1,0,604.37,0,0,Limited Access to Care Lv. 1,1
1003,10.1,8.1,44,130.9018653,86.3,9.5,0.7,0.8,0,1.7,4.5,10.6,90.3,31.3,49.7,71.4,89.8,56.11984949,48.80317827,54.47624032,0.002516049,31445,19.77929216,0,0,0,0,0,0,0,0,TRUE,FALSE,1,5,2027.269,0,0,Access to Maternity Care,1
1005,12.2,11.9,79,29.13213755,47.4,47.6,0.3,0.4,0,1.4,4.3,28.9,73,12.2,41.5,56.4,88.8,33.23043338,11.42822276,26.94005211,0.001129941,23801,26.89372453,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,904.515,0,0,Maternity Care Desert,0
1007,9.8,9.6,96,36.19021915,76.7,22.3,0,0.2,0,0.8,2.4,14,83.2,11.5,46.1,86,92.1,13.35344704,NA,14.01372937,0.001606526,692,1.111716236,0.006388062,0,0.006388062,0,0.006388062,0,0.006388062,0,TRUE,FALSE,1,0,626.168,4,4,Limited Access to Care Lv. 1,1
1009,10.3,8.1,52,89.39551603,95.5,1.5,0.2,0.3,0,1.6,9.1,14.4,80.2,12.6,58.4,82,89,57.32819917,12.53196574,55.48585598,0.001550794,5140,7.971080795,0,0,0,0,0,0,0,0,TRUE,FALSE,1,0,650.628,0,0,Limited Access to Care Lv. 1,1
1011,16.3,15.9,43,16.62154828,22,76.2,1.2,0.5,0,0,0.5,31.4,75.2,13.3,33,49.7,89.2,13.36852888,6.252348243,14.89227785,0.001605636,3359,5.393332755,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,625.144,0,0,Maternity Care Desert,0
1013,13.5,12.5,55,25.77754206,52,45.2,0,1.2,0,1.6,0.3,23.5,84.6,16.1,39.5,50,89.8,18.33584565,2.659495726,11.80682226,0.002574536,2012,2.589983253,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,777.882,0,0,Limited Access to Care Lv. 1,1
1015,10.3,9.6,63,189.9720731,74.3,20.6,0.3,0.9,0,2.4,3.7,18.6,84.1,18,46.7,58.9,90.6,39.93609169,8.387965695,32.72825104,0.003301049,4213,6.953659873,0,0,0,0,0,0,0,0,TRUE,FALSE,1,4,612.288,0,0,Access to Maternity Care,1
1017,12.8,13,44,56.70166169,57.6,39.4,0.3,1.2,0,1,2.3,16.6,81.4,13.2,41.8,90.9,89.2,38.63477499,2.767529222,35.49511282,0,2345,3.930863734,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,603.114,0,0,Limited Access to Care Lv. 1,1
1019,10.1,8.3,64,46.70611084,92.8,4.9,0.9,0.2,0,0.8,1.5,15,80.2,12.9,56.8,99.6,91.7,103.0974211,43.54816856,117.942279,0.001806603,5419,9.789982386,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,599.976,0,0,Limited Access to Care Lv. 1,1
1021,10.6,8.8,38,63.40459434,83.3,9.4,0.3,0.4,0,2.3,7.8,18.6,82.2,14.2,52.1,55.9,85.8,23.93729108,8.281710957,17.19126163,0.00144331,11564,16.69043317,0,0,0,0,0,0,0,0,TRUE,FALSE,1,0,700.803,0,0,Limited Access to Care Lv. 1,1
1023,16.7,12.3,50,14.31359863,56.7,42.8,0.1,0.1,0,0.3,0.6,22.2,81.4,13,43.4,NA,88.6,6.520213648,0.602101663,1.531527685,0.00109473,259,0.283535147,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,920.859,0,0,Maternity Care Desert,0
1025,13.8,12.9,21,19.69202694,53,45.8,0.1,0.5,0,0.5,0.2,25.4,81.2,12.6,42.7,53.3,89.2,8.950921335,NA,2.154357972,0.001614961,308,0.248703994,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,1252.574,0,0,Limited Access to Care Lv. 1,1
1027,13.4,8.7,34,22.15043687,83,14.8,1.2,0.1,0,0.7,3.1,18.4,75.5,10.2,49.9,56.5,89.8,23.92207444,1.60109676,17.32231055,0.001655736,1042,1.725276963,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,606.002,0,0,Maternity Care Desert,0
