Model,Variable,Estimate,Std. Error,t value,Pr(>|t|),Confidence Interval (lower bound): 2.5%,Confidence Interval (upper bound): 97.5%
full_all_ptb,acres_ag_land_per_sqr_mile,-0.001173562,0.000364451,-3.220083017,0.00129755,-0.001887873,-0.000459251
full_all_ptb,all_wells,0.651814316,0.159315522,4.091342189,4.42E-05,0.339561631,0.964067001
full_all_ptb,asian,-0.02500207,0.024016328,-1.041044662,0.297952973,-0.072073208,0.022069068
full_all_ptb,ba,-0.032786398,0.006397535,-5.124848556,3.20E-07,-0.045325337,-0.02024746
full_all_ptb,black,0.062000524,0.013300971,4.661353282,3.30E-06,0.0359311,0.088069947
full_all_ptb,drug_death_per_100000,-0.001430956,0.000563476,-2.539514235,0.011159248,-0.002535349,-0.000326563
full_all_ptb,fertilizer_per_sqr_mile,-0.002710074,0.001392406,-1.946325274,0.051724777,-0.005439139,1.90E-05
full_all_ptb,herbicide_per_sqr_mile,0.001131745,0.00115398,0.980732299,0.3268173,-0.001130013,0.003393504
full_all_ptb,hispanic,-0.009022026,0.004019797,-2.244398337,0.024891755,-0.016900684,-0.001143368
full_all_ptb,hs,-0.028422786,0.010934962,-2.599257921,0.009396122,-0.049854918,-0.006990655
full_all_ptb,insecticide_per_sqr_mile,0.001780743,0.0009506,1.87328273,0.061143035,-8.24E-05,0.003643884
full_all_ptb,insured,0.00307286,0.009649626,0.318443446,0.750174523,-0.015840059,0.021985779
full_all_ptb,marital,-0.017079473,0.008454288,-2.02021427,0.043464964,-0.033649572,-0.000509373
full_all_ptb,maternal_care_code,-0.175395801,0.078391738,-2.237427111,0.025344033,-0.329040784,-0.021750817
full_all_ptb,multiracial,0.02573084,0.025586755,1.005631264,0.314687872,-0.024418277,0.075879958
full_all_ptb,native,0.02226772,0.014532717,1.532247551,0.125584727,-0.006215882,0.050751322
full_all_ptb,pacific,0.103814384,0.096638643,1.07425333,0.28281024,-0.085593876,0.293222645
full_all_ptb,pop_per_sqr_mile,0.000138679,8.29E-05,1.672212825,0.094604372,-2.39E-05,0.000301222
full_all_ptb,poverty,0.056381329,0.009656832,5.838491378,5.93E-09,0.037454286,0.075308371
full_all_ptb,white,0.011375489,0.012565988,0.905260233,0.365412593,-0.013253394,0.036004372
