fips,preterm,lbw,pop_per_sqr_mile,white,black,native,asian,pacific,multiracial,hispanic,poverty,hs,ba,marital,drug_death_per_100000,insured,fertilizer_per_sqr_mile,insecticide_per_sqr_mile,herbicide_per_sqr_mile,acres_ag_land_per_sqr_mile,all_wells,all_hormone_wells,all_est_wells,all_test_wells,all_wells_2014to2018,all_hormone_wells_2014to2018,all_est_wells_2014to2018,all_test_wells_2014to2018,required_report,no_report_but_resources,"Metro-nonmetro status, 2013 0=Nonmetro 1=Metro",Economic Types Type_2015_Update non-overlapping,total_area,maternal_care_code
2185,10.9,5.7,0.110296274,31.6,0.9,52,5.6,1.8,7.1,2.1,9.3,89.8,16.6,38.4,158.3,79.2,NA,NA,NA,NA,0.001529085,0.000548362,0.00025309,0.000316363,0.001033451,0.00050618,0.000242545,0.000305817,TRUE,FALSE,0,2,94827.923,0
2188,10.7,7.1,0.21695188,11.1,1.1,82.5,1,0,3.7,1.2,25.1,81.9,11.7,34.1,109.1,72.4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,TRUE,FALSE,0,2,40619.779,1
2240,7,3.9,0.27700369,76.6,0.7,13.2,2.3,0,5.2,5.5,10.8,90.2,19.1,57.6,133.5,84.4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,TRUE,FALSE,0,2,25113.11,0
5017,10.9,13,16.80179285,43.7,54.1,0.2,0.4,0,0.9,5.4,29.2,80.7,14.7,42.4,162.3,91.1,216.5454049,358.2276949,339.9251322,415.2771225,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,690.79,0
5021,10.3,7.1,23.55239042,95.9,0.6,0.4,0,0,1.5,2,22.6,80.7,11.6,48.4,277.7,93.1,324.4572051,170.5276886,358.5980847,379.7688078,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,641.436,0
5077,14.9,12,15.59520827,42.3,56.5,0.3,0.1,0,0.6,1.8,26,73,8.9,40.7,89.4,91.5,278.5614839,219.3003563,387.6267173,389.5947868,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,619.502,0
5101,9,6.1,9.560133949,94.7,0,2.6,0.2,0,2.4,0.9,14.2,82.6,16.2,57.4,132,92.5,17.99103189,0.024363236,8.583168171,0.286268027,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,823.199,1
5117,11.8,8.3,12.72444114,85.4,13,0.4,0.4,0,0.7,0.7,15.7,82.2,15.1,54.1,191.9,91.8,237.0907272,202.806971,272.1987013,341.1474532,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,675.612,0
5139,11.1,10.6,38.2326677,64.1,32.6,1,0.6,0,1.1,3.9,20.1,84.8,20.8,47,133.3,89.4,6.837846992,1.580999523,3.746093209,0.820811073,0,0,0,0,0,0,0,0,TRUE,FALSE,0,2,1055.201,1
6011,9.8,6.3,18.6527831,87.8,1.7,0.9,1.5,0.2,2.6,59,13.8,69.4,15.4,53.4,28.7,89.7,182.2956723,166.5515207,196.9613622,347.6896498,0.002594361,0,0,0,0,0,0,0,TRUE,FALSE,0,1,1156.354,0
6021,8.4,5.6,21.23111065,82.9,0.9,2.4,2.9,0.2,2,41.2,18.8,75.3,13.9,54.9,48.5,90.4,166.3784811,155.4033279,180.9229753,309.6924735,0.000753593,0,0,0,0,0,0,0,TRUE,FALSE,0,1,1326.977,0
8009,NA,NA,1.394524369,94.8,1,1.6,0,0.1,2,10.7,19.2,84.8,22.1,59.1,183.6,93.2,94.39047387,32.74725215,161.6395818,160.048188,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,2557.365,0
8011,10.8,11.5,3.839780229,91.5,4,1.2,0.6,0,1.3,32,22.9,85.8,12.4,55.9,181.9,90.5,21.3822019,57.9496803,49.87616064,230.4535753,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,1541.087,0
8017,NA,NA,1.146616161,94,0.1,0.1,2.3,0.1,3.2,17,11.5,90.1,20,55,248.1,88.8,152.578115,41.25625044,222.1584276,155.4899239,0.001122694,0,0,0,0.001122694,0,0,0,TRUE,FALSE,0,1,1781.429,0
8019,9.6,9.2,23.7323475,94.7,1.1,0.3,1,0.1,2.7,6.6,5.5,98.3,46.5,60,46.7,91,NA,NA,0.683200109,20.51371587,0,0,0,0,0,0,0,0,TRUE,FALSE,1,2,396.463,0
8021,11.2,12.5,6.324192951,90.3,0.4,2.5,0.1,0.2,1.6,53,22.4,86.6,20.2,50.6,136.9,86.5,18.51818769,3.067334557,6.970438165,188.7649648,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,1290.994,1
8023,13.9,17.9,3.003438436,90.7,0.5,2.2,1.5,0,3,62.6,30.1,78.5,19.1,47.7,194.8,88.4,12.73386212,3.339054556,5.442357524,NA,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,1231.002,0
8029,6.8,7.4,26.56972473,94.8,1,1.1,1,0,1.2,15.1,17.6,90.4,21.2,56.9,265.5,89.8,24.54017811,10.40864983,11.35075171,191.4804571,0.005223719,0.00087062,0.00087062,0,0.00087062,0.00087062,0.00087062,0,TRUE,FALSE,0,2,1148.607,1
8033,NA,17.9,1.725123457,96.7,0,0.7,0,0,2.6,5.9,13.6,91.8,21.3,64.5,NA,94.9,18.39163395,3.437128105,13.00636262,64.76568869,0.001872275,0,0,0,0,0,0,0,TRUE,FALSE,0,1,1068.219,0
8039,9.6,8.7,13.59493764,93.3,0.5,0.9,1,0,3.3,6.7,4.4,96.7,35.9,60.2,78.5,94.2,23.80978109,NA,31.21886542,123.5922578,0.002160986,0.001080493,0,0.000540246,0.001620739,0.001080493,0,0.000540246,TRUE,FALSE,1,1,1851.007,1
8045,8.7,8.6,19.85991732,87.3,0.4,0.7,0.9,0,1.8,28.2,8.1,87.8,30,57.2,95.8,82.9,6.073528988,1.700058863,12.27937148,133.6685275,0.988562514,0.260165836,0.04059805,0.115027808,0.321401228,0.129237125,0.036538245,0.042966269,TRUE,FALSE,0,2,2955.807,1
8051,7.7,10.8,5.105364322,95.2,0.6,1,0.5,0.1,2.1,9.3,13.2,97.2,55.3,47.1,54.6,89.2,2.913117116,0.016979805,3.514202218,72.34724504,0.003681398,0.00092035,0.000306783,0.000613566,0.002454266,0.00092035,0.000306783,0.000306783,TRUE,FALSE,0,2,3259.631,1
8057,NA,NA,0.803110317,93.4,0,0,0,0,0.4,19.6,15.7,87.6,16.8,63.2,NA,89.4,8.950094378,0.199538212,NA,163.3951489,0.018507494,0.006786081,0,0,0.011104496,0.003701499,0,0,TRUE,FALSE,0,1,1620.965,0
8061,13.3,NA,0.819658685,92,1.2,0,0,0,6.5,5.4,11.3,95.9,21.5,51.6,NA,94.1,97.36911623,21.76083502,250.5994709,92.46813428,0.002239681,0,0,0,0.00055992,0,0,0,TRUE,FALSE,0,1,1785.969,0
8063,10,6.6,3.533377576,90.2,2.6,0.4,0.3,0.5,1,19.2,10.1,88.5,18.9,60.1,232.1,87.4,222.4523815,44.00686405,330.9721948,402.0992937,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,2161.691,0
8065,11.5,12.1,20.12368705,86.1,0.1,0.6,1.3,0.4,1.7,30.9,16.5,85.5,34,55.5,73.6,85.3,NA,NA,NA,24.68169554,0,0,0,0,0,0,0,0,TRUE,FALSE,0,2,383.912,0
8081,9.5,8.4,2.753389874,94.4,1.1,0.8,0,0.2,2.7,15.2,13.9,90.9,17.1,55.5,176.1,86.5,4.41195941,0.464660895,9.607348895,138.2926959,0.007367041,0.002946816,0.001894382,0.000631461,0.002525843,0.000841948,0.001052434,0.000631461,TRUE,FALSE,0,2,4750.89,0
8095,7.3,7.8,6.276819667,96.3,0.3,0.3,0.3,0,1.9,21.9,6.7,88.2,25.5,60.6,264.2,84.4,340.5937831,114.2096266,423.5995627,360.3371283,0.033428046,0,0.011627146,0,0.011627146,0,0.011627146,0,TRUE,FALSE,0,1,688.045,0
8103,6.9,9,2.007158711,93.4,0.4,0.6,0.1,0.2,4.9,10.1,11.5,92.8,20.2,56.3,199.5,91.9,3.830832379,NA,3.517883272,96.19645753,0.092775,0.031338712,0.003723411,0.000620569,0.025443311,0.018617057,0.001551421,0.000620569,TRUE,FALSE,0,2,3222.851,0
8109,15,15.7,2.041301964,91.9,0,2.6,0,0,3.2,36.6,17.7,80.4,22.9,52,114.5,83.5,16.20101964,6.495682905,21.76221041,94.53424672,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,3170.286,0
8115,NA,NA,4.28800035,92.1,1.3,0.7,1.5,0,2.3,13.6,17,90.1,20.8,50.5,322,92.3,273.8043322,39.05364745,363.3122339,420.7221722,0,0,0,0,0,0,0,0,TRUE,FALSE,0,1,549.404,1
8121,8.1,7.6,1.922096324,95.8,1.4,0.3,0.5,0,1.2,9.8,10.7,92.5,16.2,60,200.8,95,168.488025,28.06737186,218.308444,130.8963482,0.001584814,0,0,0,0,0,0,0,TRUE,FALSE,0,1,2523.956,0
8125,8.8,6.9,4.25858929,92.9,2.4,0.5,0,0,1.2,23,14.5,88.1,22.1,57.5,150.4,88.7,159.3378103,106.7058084,227.090363,376.555047,0.034196016,0,0.001688692,0,0.017309094,0,0.000844346,0,TRUE,FALSE,0,1,2368.697,1
13007,12.3,9.4,9.325733937,56.8,38.8,0.2,3,0.6,0,4.2,21.3,78.3,12.3,43.9,NA,86,129.6800475,90.00839287,127.2791608,167.7140693,0,0,0,0,0,0,0,0,FALSE,FALSE,1,1,349.138,0
13027,10.7,10.3,31.68158607,61.6,34.3,0,0.8,0,2.4,5.7,27,82.8,15.2,48.1,125.9,79.2,144.7918652,133.753402,139.7360341,162.9729828,0,0,0,0,0,0,0,0,FALSE,FALSE,1,1,497.8,0
