fips,preterm,lbw,pop_per_sqr_mile,white,black,native,asian,pacific,multiracial,hispanic,poverty,hs,ba,marital,drug_death_per_100000,insured,fertilizer_per_sqr_mile,insecticide_per_sqr_mile,herbicide_per_sqr_mile,acres_ag_land_per_sqr_mile,all_wells,all_hormone_wells,all_est_wells,all_test_wells,all_wells_2014to2018,all_hormone_wells_2014to2018,all_est_wells_2014to2018,all_test_wells_2014to2018,required_report,no_report_but_resources,"Metro-nonmetro status, 2013 0=Nonmetro 1=Metro",Economic Types Type_2015_Update non-overlapping,total_area,maternal_care_code
1005,12.2,11.9,29.13213755,47.4,47.6,0.3,0.4,0,1.4,4.3,28.9,73,12.2,41.5,56.4,88.8,33.23043338,11.42822276,26.94005211,26.89372453,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,904.515,0
1011,16.3,15.9,16.62154828,22,76.2,1.2,0.5,0,0,0.5,31.4,75.2,13.3,33,49.7,89.2,13.36852888,6.252348243,14.89227785,5.393332755,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,625.144,0
1013,13.5,12.5,25.77754206,52,45.2,0,1.2,0,1.6,0.3,23.5,84.6,16.1,39.5,50,89.8,18.33584565,2.659495726,11.80682226,2.589983253,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,777.882,1
1017,12.8,13,56.70166169,57.6,39.4,0.3,1.2,0,1,2.3,16.6,81.4,13.2,41.8,90.9,89.2,38.63477499,2.767529222,35.49511282,3.930863734,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,603.114,1
1019,10.1,8.3,46.70611084,92.8,4.9,0.9,0.2,0,0.8,1.5,15,80.2,12.9,56.8,99.6,91.7,103.0974211,43.54816856,117.942279,9.789982386,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,599.976,1
1023,16.7,12.3,14.31359863,56.7,42.8,0.1,0.1,0,0.3,0.6,22.2,81.4,13,43.4,NA,88.6,6.520213648,0.602101663,1.531527685,0.283535147,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,920.859,0
1025,13.8,12.9,19.69202694,53,45.8,0.1,0.5,0,0.5,0.2,25.4,81.2,12.6,42.7,53.3,89.2,8.950921335,NA,2.154357972,0.248703994,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,1252.574,1
1027,13.4,8.7,22.15043687,83,14.8,1.2,0.1,0,0.7,3.1,18.4,75.5,10.2,49.9,56.5,89.8,23.92207444,1.60109676,17.32231055,1.725276963,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,606.002,0
1029,9.4,8.1,26.66999938,94.2,2.6,0.3,0,0,2.1,2.4,18.5,77.4,13.7,54.2,102.8,87.2,17.52350006,2.106747842,16.06663036,3.633247338,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,561.014,0
1031,10.2,8.4,75.53616717,75.9,17.2,1.2,1.3,0,3.1,6.9,15.1,86.2,23.4,52.7,100.7,89.9,68.77166834,37.19517045,65.3916281,36.65760413,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,680.495,1
1035,14,12.6,14.71888967,50.9,47.7,0.4,0.1,0,0.8,0.8,22.2,80.8,10.7,34.7,121.6,85.5,28.66502,7.408844978,17.91343213,0.815102329,0.007035969,0.001172662,0.003517985,0.002345323,0.005863308,0,0.003517985,0.002345323,TRUE,FALSE,0,0,852.761,0
1037,18.9,14.5,16.67662707,65.7,34.2,0.1,0,0,0,0.5,14,79.6,11.6,46.1,95,92.2,8.139361602,0.030726167,2.054044255,0.706701838,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,666.35,1
1039,12.1,10.6,36.24350715,84.7,12.9,0.2,0.4,0,1.6,1.6,18.3,82.9,14.9,48.3,129.2,88.8,44.08392743,21.49226098,33.23348442,5.598913985,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,1043.774,1
1041,13.5,11.2,22.77187882,71.7,23.1,0.8,1.4,0,2.1,2,15.7,78.4,15.6,44.3,71.9,90,30.06413573,4.260386128,28.65495635,1.277787358,0,0,0,0,0,0,0,0,TRUE,FALSE,0,3,610.946,0
1043,10.7,8.6,112.0238547,95.2,1.2,0.4,0.4,0,1.8,4.3,15.8,81.8,13.7,53,106.3,88.2,78.15525987,28.4887606,82.05710273,13.04606407,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,755.021,1
