CAS.Number,ChemicalName,Target.Name,UniProt.Name,Organism,NCBI.Taxonomy.Id,Gene.Name,Molecular.Weight,General.Function,Specific.Function,Chromosome.Location,HGNC.ID,KEGG.ID,estrogen_pathway,testosterone_pathway,hormone_pathway
87-86-5,Pentachlorophenol,Sulfotransferase 1A3/1A4,ST1A3_HUMAN,Human,9606,SULT1A3,34195.96,"Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) as sulfonate donor to catalyze the sulfate conjugation of phenolic monoamines (neurotransmitters such as dopamine, norepinephrine and serotonin) and phenolic and catechol drugs.",Amine sulfotransferase activity,,HGNC:11455,hsa:105369243,YES,NO,NO
103-90-2,Acetaminophen,Sulfotransferase 1A3/1A4,ST1A3_HUMAN,Human,9606,SULT1A3,34195.96,"Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) as sulfonate donor to catalyze the sulfate conjugation of phenolic monoamines (neurotransmitters such as dopamine, norepinephrine and serotonin) and phenolic and catechol drugs.",Amine sulfotransferase activity,,HGNC:11455,hsa:105369243,YES,NO,NO
79241-46-6,Fluazifop-P-butyl,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
83-79-4,Rotenone,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
88671-89-0,Myclobutanil,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
17924-92-4,"(S,E)-Zearalenone",Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
94361-06-5,Cyproconazole,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
58-22-0,Testosterone,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
486-66-8,Daidzein,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
56-53-1,Diethylstilbestrol,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
1918-16-7,Propachlor,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
23593-75-1,Clotrimazole,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
491-80-5,Biochanin A,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
872-50-4,1-Methyl-2-pyrrolidone,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
55219-65-3,Triadimenol,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
137-30-4,Zinc dimethyldithiocarbamate,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
120-32-1,Clorophene,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
65277-42-1,Ketoconazole,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
521-18-6,Dihydrotestosterone,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
29091-21-2,Prodiamine,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
51630-58-1,Fenvalerate,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
120511-73-1,Anastrozole,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
115-32-2,Dicofol,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
480-40-0,"5,7-Dihydroxyflavone",Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
35554-44-0,Enilconazole,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
16423-68-0,Fd&c red no. 3,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
75330-75-5,Lovastatin,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
137-66-6,Ascorbyl palmitate,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
64657-11-0 and 66575-29-9,Forskolin,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
5598-15-2,Chlorpyrifos oxon,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
57-91-0,17a-Estradiol,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
311-45-5,Paraoxon,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
85509-19-9,Flusilazole,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
10540-29-1,Tamoxifen,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
68047-06-3,4-Hydroxytamoxifen,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
68694-11-1 and 99387-89-0,Triflumizole,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
63-05-8,Androstenedione,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
1260-17-9,Carmine red,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
136-77-6,Hexylresorcinol,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
141517-21-7,Trifloxystrobin,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
84-16-2,Hexestrol,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
67747-09-5,Prochloraz,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
112281-77-3,Tetraconazole,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
989-38-8,Rhodamine 6g,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
2353-45-9,Fast green FCF,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
60207-90-1,Propiconazole,Cytochrome P450 19A1,CP19A_HUMAN,Human,9606,CYP19A1,57882.48,Oxygen binding,Catalyzes the formation of aromatic C18 estrogens from C19 androgens.,15,HGNC:2594,hsa:1588,YES,NO,NO
